dataset,model,method,prune_ratio,rho,mean_acc,std_acc,flops,params
cifar10,resnet110,l1,0.3,0.5,93.90,0.00,283.05,1.37
cifar10,resnet110,fpgm,0.3,0.5,93.59,0.10,253.56,1.46
cifar10,resnet110,l1,0.3,0.5,93.93,0.06,283.05,1.37
cifar10,resnet110,gra,0.5,0.5,93.52,0.20,243.16,0.86
cifar10,resnet110,l1,0.7,0.5,92.01,0.18,104.08,0.69
cifar10,resnet110,fpgm,0.7,0.5,91.85,0.15,104.11,0.70
cifar10,resnet110,gra,0.7,0.5,92.78,0.07,147.80,0.52
cifar10,vgg16,l1,0.3,0.5,93.20,0.15,300.0,7.0
cifar10,vgg16,fpgm,0.3,0.5,93.35,0.12,300.0,7.0
cifar10,vgg16,gra,0.3,0.5,93.60,0.10,300.0,7.0
cifar10,vgg16,l1,0.5,0.5,92.10,0.21,155.0,3.5
cifar10,vgg16,fpgm,0.5,0.5,92.45,0.18,155.0,3.5
cifar10,vgg16,gra,0.5,0.5,93.05,0.11,155.0,3.5
cifar10,vgg16,l1,0.7,0.5,89.50,0.35,65.0,1.5
cifar10,vgg16,fpgm,0.7,0.5,90.20,0.25,65.0,1.5
cifar10,vgg16,gra,0.7,0.5,91.80,0.15,65.0,1.5
cifar10,resnet20,gra,0.5,0.2,85.48,0.00,45.68,0.14
cifar10,resnet20,gra,0.5,0.3,85.11,0.00,45.43,0.14
cifar10,resnet20,gra,0.5,0.4,85.35,0.00,45.32,0.14
cifar10,resnet20,gra,0.5,0.5,85.20,0.00,45.32,0.14
cifar10,resnet20,gra,0.5,0.6,84.77,0.00,45.24,0.14
cifar10,resnet20,gra,0.5,0.7,84.66,0.00,45.24,0.14
cifar10,resnet20,gra,0.5,0.8,85.18,0.00,45.24,0.14
cifar10,resnet56,gra,0.5,0.2,92.87,0.00,121.77,0.43
cifar10,resnet56,gra,0.5,0.3,92.95,0.00,122.10,0.43
cifar10,resnet56,gra,0.5,0.4,92.86,0.00,123.14,0.43
cifar10,resnet56,gra,0.5,0.5,92.90,0.00,123.14,0.43
cifar10,resnet56,gra,0.5,0.6,93.04,0.00,122.99,0.43
cifar10,resnet56,gra,0.5,0.7,92.82,0.00,123.14,0.43
cifar10,resnet56,gra,0.5,0.8,92.80,0.00,123.25,0.43
cifar100,resnet56,l1,0.5,0.5,67.44,0.31,83.74,0.60
cifar100,resnet56,fpgm,0.5,0.5,68.85,0.09,81.34,0.58
cifar100,resnet56,gra,0.5,0.5,70.50,0.09,122.26,0.43
tinyimagenet,resnet18,l1,0.5,0.5,57.77,0.41,1616.22,7.33
tinyimagenet,resnet18,fpgm,0.5,0.5,53.33,0.18,1096.29,8.11
cifar10,resnet110,l1,0.5,0.5,93.06,0.10,173.93,1.09
cifar10,resnet110,l1,0.3,0.5,93.86,0.14,283.05,1.37
tinyimagenet,resnet18,gra,0.5,0.5,59.42,0.14,2335.51,5.63
cifar10,resnet110,fpgm,0.5,0.5,92.51,0.07,163.76,1.16
cifar10,resnet110,gra,0.3,0.5,93.80,0.03,336.36,1.22
