Epoch,TestAccuracy
0,76.49
1,79.37
2,80.51
3,82.26
4,80.0
5,81.82
6,82.5
7,83.41
8,82.95
9,84.2
10,83.68
11,83.92
12,84.29
13,82.58
14,83.26
15,83.39
16,82.76
17,83.56
18,84.08
19,83.67
20,83.26
21,83.74
22,84.89
23,83.76
24,84.25
25,85.02
26,83.54
27,82.36
28,84.44
29,84.08
30,83.98
31,84.28
32,84.14
33,84.32
34,84.33
35,83.0
36,83.88
37,85.17
38,83.43
39,84.94
40,82.2
41,83.07
42,81.4
43,84.36
44,84.61
45,83.37
46,82.96
47,84.32
48,84.42
49,84.83
50,87.19
51,87.54
52,87.67
53,87.63
54,87.52
55,87.66
56,87.89
57,87.94
58,87.86
59,87.74
60,87.94
61,87.5
62,87.57
63,87.88
64,87.77
65,87.83
66,87.88
67,88.04
68,88.05
69,87.68
70,87.68
71,87.88
72,87.88
73,87.83
74,87.82
75,88.07
76,88.05
77,88.12
78,87.99
79,87.92
80,88.03
81,88.11
82,88.12
83,88.05
84,88.14
85,87.99
86,88.05
87,87.98
88,88.08
89,88.11
90,88.01
91,88.03
92,87.99
93,88.23
94,88.08
95,88.13
96,87.99
97,88.0
98,88.18
99,88.09
