version,architecture,dataset,ratio,iso_flops,use_hessian,use_ngscs,baseline_acc,pruned_acc,final_acc,acc_drop,timestamp
5.3,resnet20,cifar10,0.3,True,True,True,82.85,10.26,91.72,-8.870000000000005,2026-01-27 01:16:20
5.3,resnet20,cifar10,0.5,True,True,True,82.85,10.12,90.55,-7.700000000000003,2026-01-27 01:30:04
5.3,resnet20,cifar10,0.7,True,True,True,82.85,11.79,90.26,-7.410000000000011,2026-01-27 01:43:48
5.3,resnet56,cifar10,0.3,True,True,True,93.63,10.0,93.74,-0.1099999999999994,2026-01-27 02:08:10
5.3,resnet56,cifar10,0.5,True,True,True,93.63,10.0,92.12,1.509999999999991,2026-01-27 02:32:32
5.3,resnet56,cifar10,0.7,True,True,True,93.63,10.01,91.93,1.6999999999999886,2026-01-27 02:56:57
5.3,vgg16,cifar10,0.3,True,True,True,94.01,41.39,93.87,0.1400000000000005,2026-01-27 03:08:56
5.3,vgg16,cifar10,0.5,True,True,True,94.01,10.0,92.66,1.3500000000000083,2026-01-27 03:20:51
5.3,vgg16,cifar10,0.7,True,True,True,94.01,10.0,88.59,5.420000000000002,2026-01-27 03:32:44
5.3,resnet56,cifar100,0.3,True,True,True,72.56,1.68,72.06,0.5,2026-01-27 03:57:05
5.3,resnet56,cifar100,0.5,True,True,True,72.56,1.13,70.53,2.030000000000001,2026-01-27 04:21:26
5.3,vgg16,cifar100,0.5,True,True,True,73.57,1.0,67.6,5.969999999999999,2026-01-27 04:33:17
