ratio,study,rho,num_scoring_batches,n,mean_acc,std_acc,mean_score_time_s,std_score_time_s,mean_total_time_s,std_total_time_s,mean_quality,mean_gate_on_rate,mean_semantic_applied_rate
0.7,rho_sweep,0.1,8,5,65.288,0.1399,16.8735,2.4074,284.86,5.9218,0.506844,0.444444,0.444444
0.7,rho_sweep,0.3,8,5,65.828,0.263,31.318,5.9389,198.5,47.2942,0.509978,0.444444,0.444444
0.7,rho_sweep,0.5,8,5,65.716,0.242,31.5626,5.5333,198.66,48.8968,0.508797,0.444444,0.444444
0.7,rho_sweep,0.7,8,5,65.782,0.2013,32.671,3.2363,200.68,54.0801,0.508004,0.444444,0.444444
0.7,calibration_size,0.5,4,5,65.752,0.1635,21.5184,2.2549,229.54,86.2654,0.515138,0.444444,0.444444
0.7,calibration_size,0.5,8,5,65.694,0.2331,27.9981,3.1475,169.98,70.1964,0.508797,0.444444,0.444444
0.7,calibration_size,0.5,16,5,65.516,0.1113,30.555,1.5666,172.24,69.0008,0.509212,0.444444,0.444444
0.7,calibration_size,0.5,32,5,65.384,0.1332,65.1505,20.9771,253.64,70.5707,0.503509,0.444444,0.444444
0.9,rho_sweep,0.1,8,5,51.66,0.2169,33.2658,0.7655,207.64,0.3847,0.513364,0.444444,0.444444
0.9,rho_sweep,0.3,8,5,51.66,0.2169,32.5414,0.4347,204.56,5.8539,0.511101,0.444444,0.444444
0.9,rho_sweep,0.5,8,5,51.66,0.2169,31.4488,0.3089,192.52,0.3701,0.509935,0.444444,0.444444
0.9,rho_sweep,0.7,8,5,51.66,0.2169,31.5312,0.1867,192.18,0.2387,0.509392,0.444444,0.444444
0.9,calibration_size,0.5,4,5,51.468,0.0936,26.0268,1.6536,171.72,1.3274,0.514183,0.444444,0.444444
0.9,calibration_size,0.5,8,5,51.718,0.2633,26.2815,0.5515,171.54,0.6768,0.509935,0.444444,0.444444
0.9,calibration_size,0.5,16,5,51.652,0.192,30.3778,2.1957,172.34,6.2095,0.511084,0.444444,0.444444
0.9,calibration_size,0.5,32,5,51.768,0.1733,57.9466,5.4725,224.52,5.1872,0.504704,0.444444,0.444444
