architecture,dataset,ratio,method,n,seeds,mean_final_acc,std_final_acc,max_iso_error,mean_iso_error
resnet56,cifar100,0.7,CHIP,10,"[42, 123, 456, 789, 1024, 2048, 4096, 8192, 16384, 32768]",65.682,1.3518,0.0,0.0
resnet56,cifar100,0.7,GRA-CNN,10,"[42, 123, 456, 789, 1024, 2048, 4096, 8192, 16384, 32768]",66.714,1.2757,0.0,0.0
resnet56,cifar100,0.7,L1,5,"[42, 123, 456, 789, 1024]",65.926,0.1197,0.0,0.0
resnet56,cifar100,0.9,CHIP,10,"[42, 123, 456, 789, 1024, 2048, 4096, 8192, 16384, 32768]",54.01,2.9976,0.0,0.0
resnet56,cifar100,0.9,GRA-CNN,10,"[42, 123, 456, 789, 1024, 2048, 4096, 8192, 16384, 32768]",54.166,3.3907,0.0,0.0
resnet56,cifar100,0.9,L1,5,"[42, 123, 456, 789, 1024]",50.406,0.1205,0.0,0.0
vgg16,cifar100,0.7,CHIP,5,"[42, 123, 456, 789, 1024]",64.506,0.1861,0.0,0.0
vgg16,cifar100,0.7,GRA-CNN,5,"[42, 123, 456, 789, 1024]",64.26,0.4799,0.017025,0.017025
vgg16,cifar100,0.7,L1,5,"[42, 123, 456, 789, 1024]",57.64,0.7364,0.016997,0.016997
vgg16,cifar100,0.9,CHIP,5,"[42, 123, 456, 789, 1024]",42.52,0.1657,0.0,0.0
vgg16,cifar100,0.9,GRA-CNN,5,"[42, 123, 456, 789, 1024]",42.554,0.5698,0.013665,0.013665
vgg16,cifar100,0.9,L1,5,"[42, 123, 456, 789, 1024]",30.432,5.6728,0.013444,0.013444
