architecture,dataset,ratio,method,n_seeds,mean_acc,std_acc,compression_ratio
resnet56,cifar100,0.5,GRA-CNN,5,68.7940,0.2626,1.973100
resnet56,cifar100,0.5,CHIP,5,68.6700,0.1669,1.973133
resnet56,cifar100,0.5,L1,5,68.9340,0.2380,1.973100
resnet56,cifar100,0.5,Taylor,5,68.8320,0.1123,1.973133
resnet56,cifar100,0.5,FPGM,5,68.6940,0.1397,1.973100
resnet56,cifar100,0.5,HRank,5,68.6960,0.1932,1.973100
resnet56,cifar100,0.6,GRA-CNN,5,67.4700,0.0784,2.422363
resnet56,cifar100,0.6,CHIP,5,67.3620,0.2058,2.422363
resnet56,cifar100,0.6,L1,5,67.7260,0.1376,2.422363
resnet56,cifar100,0.6,Taylor,5,67.3600,0.1453,2.422363
resnet56,cifar100,0.6,FPGM,5,68.0220,0.0960,2.422363
resnet56,cifar100,0.6,HRank,5,66.7460,0.0940,2.422363
resnet56,cifar100,0.7,GRA-CNN,5,67.7600,0.1710,3.224336
resnet56,cifar100,0.7,CHIP,5,67.2480,0.2078,3.224336
resnet56,cifar100,0.7,L1,5,67.9340,0.1481,3.224336
resnet56,cifar100,0.7,Taylor,5,67.2840,0.2402,3.224336
resnet56,cifar100,0.7,FPGM,5,65.7260,0.1309,3.224336
resnet56,cifar100,0.7,HRank,5,64.4580,0.1687,3.224336
resnet56,cifar100,0.8,GRA-CNN,5,61.4860,0.1141,4.755497
resnet56,cifar100,0.8,CHIP,5,60.9920,0.1143,4.755497
resnet56,cifar100,0.8,L1,5,61.8280,0.1499,4.755497
resnet56,cifar100,0.8,Taylor,5,60.3220,0.1863,4.755497
resnet56,cifar100,0.8,FPGM,5,61.1120,0.2090,4.755497
resnet56,cifar100,0.8,HRank,5,60.3840,0.2026,4.755497
resnet56,cifar100,0.9,GRA-CNN,5,57.5100,0.1576,9.293311
resnet56,cifar100,0.9,CHIP,5,56.9720,0.0890,9.293311
resnet56,cifar100,0.9,L1,5,57.4740,0.2961,9.293311
resnet56,cifar100,0.9,Taylor,5,56.0080,0.3746,9.293311
resnet56,cifar100,0.9,FPGM,5,50.3580,0.4123,9.293311
resnet56,cifar100,0.9,HRank,5,47.4280,0.8856,9.293311
vgg16,cifar100,0.5,GRA-CNN,5,70.4380,0.4328,3.982200
vgg16,cifar100,0.5,CHIP,5,68.2800,0.1239,3.982238
vgg16,cifar100,0.5,L1,5,70.2660,0.3143,3.982200
vgg16,cifar100,0.5,Taylor,5,68.4320,0.3192,3.982238
vgg16,cifar100,0.5,FPGM,5,70.5700,0.1598,3.982200
vgg16,cifar100,0.5,HRank,5,69.9020,0.2873,3.982200
vgg16,cifar100,0.6,GRA-CNN,5,65.3300,0.9566,6.258200
vgg16,cifar100,0.6,CHIP,5,66.1760,0.1873,6.204607
vgg16,cifar100,0.6,L1,5,67.3040,0.4957,6.258200
vgg16,cifar100,0.6,Taylor,5,64.5860,0.4511,6.204607
vgg16,cifar100,0.6,FPGM,5,66.6880,1.1439,6.258200
vgg16,cifar100,0.6,HRank,5,66.0480,0.4285,6.204607
vgg16,cifar100,0.7,GRA-CNN,5,64.3720,0.3503,10.947587
vgg16,cifar100,0.7,CHIP,5,64.4300,0.1847,10.947587
vgg16,cifar100,0.7,L1,5,62.8140,0.7029,10.947587
vgg16,cifar100,0.7,Taylor,5,61.5100,0.4849,10.947587
vgg16,cifar100,0.7,FPGM,5,57.6860,1.0630,10.947587
vgg16,cifar100,0.7,HRank,5,59.5600,0.9685,10.947587
vgg16,cifar100,0.8,GRA-CNN,5,53.2600,0.4460,24.787100
vgg16,cifar100,0.8,CHIP,5,53.8040,0.2331,24.723903
vgg16,cifar100,0.8,L1,5,51.5480,0.3620,24.787100
vgg16,cifar100,0.8,Taylor,5,50.4140,0.4865,24.723903
vgg16,cifar100,0.8,FPGM,5,52.0360,0.7460,24.787100
vgg16,cifar100,0.8,HRank,5,50.4400,0.7652,24.723903
vgg16,cifar100,0.9,GRA-CNN,5,42.8420,0.3971,96.335750
vgg16,cifar100,0.9,CHIP,5,42.6940,0.9614,96.335750
vgg16,cifar100,0.9,L1,5,17.2560,22.2930,96.335750
vgg16,cifar100,0.9,Taylor,5,42.2780,0.5200,96.335750
vgg16,cifar100,0.9,FPGM,5,34.5180,1.7066,96.335750
vgg16,cifar100,0.9,HRank,5,35.5180,0.7086,96.335750
