architecture,ratio,method,seed
resnet56,0.5,GRA-CHIP-v3,42
resnet56,0.5,GRA-CHIP-v3,123
resnet56,0.5,GRA-CHIP-v3,456
resnet56,0.5,GRA-CHIP-v3,789
resnet56,0.5,GRA-CHIP-v3,1024
resnet56,0.5,CHIP,42
resnet56,0.5,CHIP,123
resnet56,0.5,CHIP,456
resnet56,0.5,CHIP,789
resnet56,0.5,CHIP,1024
resnet56,0.5,Taylor,42
resnet56,0.5,Taylor,123
resnet56,0.5,Taylor,456
resnet56,0.5,Taylor,789
resnet56,0.5,Taylor,1024
vgg16,0.5,GRA-CHIP-v3,42
vgg16,0.5,GRA-CHIP-v3,123
vgg16,0.5,GRA-CHIP-v3,456
vgg16,0.5,GRA-CHIP-v3,789
vgg16,0.5,GRA-CHIP-v3,1024
vgg16,0.5,CHIP,42
vgg16,0.5,CHIP,123
vgg16,0.5,CHIP,456
vgg16,0.5,CHIP,789
vgg16,0.5,CHIP,1024
vgg16,0.5,Taylor,42
vgg16,0.5,Taylor,123
vgg16,0.5,Taylor,456
vgg16,0.5,Taylor,789
vgg16,0.5,Taylor,1024
vgg16,0.6,GRA-CHIP-v3,42
vgg16,0.6,GRA-CHIP-v3,123
vgg16,0.6,GRA-CHIP-v3,456
vgg16,0.6,GRA-CHIP-v3,789
vgg16,0.6,GRA-CHIP-v3,1024
vgg16,0.6,CHIP,42
vgg16,0.6,CHIP,123
vgg16,0.6,CHIP,456
vgg16,0.6,CHIP,789
vgg16,0.6,CHIP,1024
vgg16,0.6,Taylor,42
vgg16,0.6,Taylor,123
vgg16,0.6,Taylor,456
vgg16,0.6,Taylor,789
vgg16,0.6,Taylor,1024
vgg16,0.6,HRank,42
vgg16,0.6,HRank,123
vgg16,0.6,HRank,456
vgg16,0.6,HRank,789
vgg16,0.6,HRank,1024
vgg16,0.8,GRA-CHIP-v3,42
vgg16,0.8,GRA-CHIP-v3,123
vgg16,0.8,GRA-CHIP-v3,456
vgg16,0.8,GRA-CHIP-v3,789
vgg16,0.8,GRA-CHIP-v3,1024
vgg16,0.8,CHIP,42
vgg16,0.8,CHIP,123
vgg16,0.8,CHIP,456
vgg16,0.8,CHIP,789
vgg16,0.8,CHIP,1024
vgg16,0.8,Taylor,42
vgg16,0.8,Taylor,123
vgg16,0.8,Taylor,456
vgg16,0.8,Taylor,789
vgg16,0.8,Taylor,1024
vgg16,0.8,HRank,42
vgg16,0.8,HRank,123
vgg16,0.8,HRank,456
vgg16,0.8,HRank,789
vgg16,0.8,HRank,1024
