architecture,dataset,ratio,n_pairs,mean_l1,mean_gra,delta_gra_minus_l1,p_t,p_wilcoxon,cohen_dz,ci95_low,ci95_high
resnet110,cifar100,0.7,5,68.226,67.868,-0.358,0.00857,0.0625,-2.1522,-0.5645,-0.1515
resnet110,cifar100,0.9,5,57.212,57.422,0.21,0.175347,0.25,0.7356,-0.1445,0.5645
resnet18,tinyimagenet,0.7,5,56.362,56.668,0.306,0.028528,0.0625,1.4988,0.0525,0.5595
resnet18,tinyimagenet,0.9,3,49.3533,49.64,0.2867,0.021336,0.25,3.8891,0.1036,0.4698
resnet56,cifar100,0.6,5,67.726,67.47,-0.256,0.018198,0.0625,-1.7248,-0.4403,-0.0717
resnet56,cifar100,0.7,5,67.934,67.76,-0.174,0.180243,0.25,-0.7251,-0.4719,0.1239
resnet56,cifar100,0.8,5,61.828,61.486,-0.342,0.037176,0.125,-1.3744,-0.651,-0.033
resnet56,cifar100,0.9,5,57.474,57.51,0.036,0.745206,1.0,0.1557,-0.251,0.323
vgg16,cifar100,0.7,5,62.814,64.372,1.558,0.025052,0.0625,1.5622,0.3196,2.7964
vgg16,cifar100,0.9,5,17.256,42.842,25.586,0.061597,0.125,1.152,-1.9926,53.1646
