architecture,dataset,ratio,method,n,final_acc_mean,final_acc_std,macro_f1_mean,macro_f1_std,worst_class_acc_mean,worst_class_acc_std,worst10_mean_acc_mean,worst10_mean_acc_std
resnet56,cifar100,0.7,CHIP,3,67.37666666666667,0.12391753530294573,,,,,,
resnet56,cifar100,0.7,GRA-CHIP-v3,3,67.85333333333334,0.10274023338281658,,,,,,
resnet56,cifar100,0.7,GRA-CHIP-v4C,3,67.38333333333334,0.16357125528513544,67.38939776425643,0.21341311093065957,37.333333333333336,1.247219128924647,44.300000000000004,0.7788880963698608
resnet56,cifar100,0.9,CHIP,3,56.98666666666666,0.06798692684790235,,,,,,
resnet56,cifar100,0.9,GRA-CHIP-v3,3,57.61333333333334,0.07930251502246756,,,,,,
resnet56,cifar100,0.9,GRA-CHIP-v4C,3,55.99,0.14142135623731153,55.60852359828751,0.14791928199362497,16.666666666666668,0.4714045207910317,26.433333333333334,1.1728408057172783
vgg16,cifar100,0.7,CHIP,3,64.34333333333333,0.004714045207906029,,,,,,
vgg16,cifar100,0.7,GRA-CHIP-v3,3,64.14999999999999,0.18184242262647732,,,,,,
vgg16,cifar100,0.7,GRA-CHIP-v4C,3,64.52333333333333,0.03681787005728655,64.46337593251575,0.057251094964875786,32.666666666666664,2.494438257849294,38.6,0.7257180352359063
vgg16,cifar100,0.9,CHIP,3,42.81666666666666,1.0923166004211198,,,,,,
vgg16,cifar100,0.9,GRA-CHIP-v3,3,42.77666666666667,0.4392670663224789,,,,,,
vgg16,cifar100,0.9,GRA-CHIP-v4C,3,42.38333333333333,0.13021349989749806,41.538572858123224,0.1350081297129038,3.6666666666666665,0.9428090415820634,13.266666666666666,0.24944382578492935
